"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 10:16:20 GMT 2021","Fri Jul 30 10:16:27 GMT 2021","6911","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Fri Jul 30 10:16:46 GMT 2021","Fri Jul 30 10:16:54 GMT 2021","8041","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Fri Jul 30 10:16:27 GMT 2021","Fri Jul 30 10:16:33 GMT 2021","5677","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"broken","Fri Jul 30 10:17:06 GMT 2021","Fri Jul 30 10:17:13 GMT 2021","7087","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Fri Jul 30 10:15:00 GMT 2021","Fri Jul 30 10:15:59 GMT 2021","59460","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"passed","Fri Jul 30 10:17:13 GMT 2021","Fri Jul 30 10:17:26 GMT 2021","13263","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
"passed","Fri Jul 30 10:16:33 GMT 2021","Fri Jul 30 10:16:46 GMT 2021","13145","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"passed","Fri Jul 30 10:15:59 GMT 2021","Fri Jul 30 10:16:09 GMT 2021","10229","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
"passed","Fri Jul 30 10:16:09 GMT 2021","Fri Jul 30 10:16:20 GMT 2021","11089","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Fri Jul 30 10:16:54 GMT 2021","Fri Jul 30 10:17:06 GMT 2021","11408","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"passed","Fri Jul 30 10:17:26 GMT 2021","Fri Jul 30 10:18:05 GMT 2021","39049","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
