"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 13:46:11 GMT 2021","Sun Jul 25 13:46:31 GMT 2021","20219","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"passed","Sun Jul 25 13:45:51 GMT 2021","Sun Jul 25 13:45:58 GMT 2021","6998","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Sun Jul 25 13:45:24 GMT 2021","Sun Jul 25 13:45:34 GMT 2021","9900","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"passed","Sun Jul 25 13:44:53 GMT 2021","Sun Jul 25 13:45:00 GMT 2021","6948","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
"passed","Sun Jul 25 13:45:00 GMT 2021","Sun Jul 25 13:45:11 GMT 2021","10980","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Sun Jul 25 13:45:11 GMT 2021","Sun Jul 25 13:45:18 GMT 2021","6785","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Sun Jul 25 13:45:18 GMT 2021","Sun Jul 25 13:45:24 GMT 2021","5580","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"passed","Sun Jul 25 13:45:58 GMT 2021","Sun Jul 25 13:46:11 GMT 2021","13075","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
"passed","Sun Jul 25 13:45:40 GMT 2021","Sun Jul 25 13:45:51 GMT 2021","10177","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"passed","Sun Jul 25 13:45:34 GMT 2021","Sun Jul 25 13:45:40 GMT 2021","6848","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Sun Jul 25 13:43:58 GMT 2021","Sun Jul 25 13:44:53 GMT 2021","55649","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
