"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 12:52:48 GMT 2021","Sun Jul 25 12:52:59 GMT 2021","10896","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Sun Jul 25 12:53:04 GMT 2021","Sun Jul 25 12:53:09 GMT 2021","4530","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"passed","Sun Jul 25 12:51:44 GMT 2021","Sun Jul 25 12:52:40 GMT 2021","55676","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"passed","Sun Jul 25 12:53:24 GMT 2021","Sun Jul 25 12:53:36 GMT 2021","11085","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"passed","Sun Jul 25 12:53:17 GMT 2021","Sun Jul 25 12:53:24 GMT 2021","7815","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Sun Jul 25 12:52:59 GMT 2021","Sun Jul 25 12:53:04 GMT 2021","5728","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Sun Jul 25 12:53:55 GMT 2021","Sun Jul 25 12:54:16 GMT 2021","21142","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"passed","Sun Jul 25 12:52:40 GMT 2021","Sun Jul 25 12:52:48 GMT 2021","7859","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
"failed","Sun Jul 25 12:53:09 GMT 2021","Sun Jul 25 12:53:17 GMT 2021","7832","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"passed","Sun Jul 25 12:53:42 GMT 2021","Sun Jul 25 12:53:55 GMT 2021","13031","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
"passed","Sun Jul 25 12:53:36 GMT 2021","Sun Jul 25 12:53:41 GMT 2021","5949","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
