"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 13:54:59 GMT 2021","Wed Aug 11 13:55:08 GMT 2021","9367","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
"passed","Wed Aug 11 13:55:19 GMT 2021","Wed Aug 11 13:55:25 GMT 2021","5971","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Wed Aug 11 13:56:24 GMT 2021","Wed Aug 11 13:57:03 GMT 2021","39195","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"passed","Wed Aug 11 13:56:10 GMT 2021","Wed Aug 11 13:56:24 GMT 2021","13340","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
"passed","Wed Aug 11 13:55:25 GMT 2021","Wed Aug 11 13:55:31 GMT 2021","6068","selenium_python_tests","tc_3_cookie_test","","","","test_tc_3_cookies",""
"passed","Wed Aug 11 13:55:08 GMT 2021","Wed Aug 11 13:55:19 GMT 2021","11134","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Wed Aug 11 13:55:45 GMT 2021","Wed Aug 11 13:55:52 GMT 2021","7106","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Wed Aug 11 13:53:48 GMT 2021","Wed Aug 11 13:54:59 GMT 2021","71090","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"passed","Wed Aug 11 13:55:52 GMT 2021","Wed Aug 11 13:56:03 GMT 2021","11452","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"broken","Wed Aug 11 13:56:03 GMT 2021","Wed Aug 11 13:56:10 GMT 2021","7128","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Wed Aug 11 13:55:31 GMT 2021","Wed Aug 11 13:55:45 GMT 2021","13282","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
