"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 02 11:07:48 GMT 2021","Mon Aug 02 11:08:47 GMT 2021","58364","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"passed","Mon Aug 02 11:10:15 GMT 2021","Mon Aug 02 11:10:28 GMT 2021","13311","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
"passed","Mon Aug 02 11:09:14 GMT 2021","Mon Aug 02 11:09:21 GMT 2021","7056","selenium_python_tests","tc_3_cookie_test","","","","test_tc_3_cookies",""
"passed","Mon Aug 02 11:08:56 GMT 2021","Mon Aug 02 11:09:07 GMT 2021","11137","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Mon Aug 02 11:09:34 GMT 2021","Mon Aug 02 11:09:42 GMT 2021","8002","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Mon Aug 02 11:08:47 GMT 2021","Mon Aug 02 11:08:56 GMT 2021","9361","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
"passed","Mon Aug 02 11:09:54 GMT 2021","Mon Aug 02 11:10:15 GMT 2021","20579","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Mon Aug 02 11:09:42 GMT 2021","Mon Aug 02 11:09:54 GMT 2021","11482","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"passed","Mon Aug 02 11:10:28 GMT 2021","Mon Aug 02 11:11:07 GMT 2021","39299","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"passed","Mon Aug 02 11:09:21 GMT 2021","Mon Aug 02 11:09:34 GMT 2021","13141","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"passed","Mon Aug 02 11:09:07 GMT 2021","Mon Aug 02 11:09:14 GMT 2021","7027","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
