"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 23 16:22:17 GMT 2021","Fri Jul 23 16:22:25 GMT 2021","8100","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Fri Jul 23 16:22:01 GMT 2021","Fri Jul 23 16:22:07 GMT 2021","5693","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"passed","Fri Jul 23 16:20:31 GMT 2021","Fri Jul 23 16:21:36 GMT 2021","64685","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"passed","Fri Jul 23 16:22:49 GMT 2021","Fri Jul 23 16:23:02 GMT 2021","13321","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
"passed","Fri Jul 23 16:22:07 GMT 2021","Fri Jul 23 16:22:17 GMT 2021","10289","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"passed","Fri Jul 23 16:22:25 GMT 2021","Fri Jul 23 16:22:42 GMT 2021","16584","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"broken","Fri Jul 23 16:22:42 GMT 2021","Fri Jul 23 16:22:49 GMT 2021","7089","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Fri Jul 23 16:21:44 GMT 2021","Fri Jul 23 16:21:55 GMT 2021","11066","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Fri Jul 23 16:21:36 GMT 2021","Fri Jul 23 16:21:44 GMT 2021","8100","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
"passed","Fri Jul 23 16:21:55 GMT 2021","Fri Jul 23 16:22:01 GMT 2021","5931","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Fri Jul 23 16:23:02 GMT 2021","Fri Jul 23 16:23:24 GMT 2021","21496","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
