"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 26 14:33:37 GMT 2021","Mon Jul 26 14:33:39 GMT 2021","2353","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"passed","Mon Jul 26 14:34:15 GMT 2021","Mon Jul 26 14:34:23 GMT 2021","7990","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Mon Jul 26 14:34:34 GMT 2021","Mon Jul 26 14:34:41 GMT 2021","7056","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Mon Jul 26 14:33:53 GMT 2021","Mon Jul 26 14:34:00 GMT 2021","6940","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Mon Jul 26 14:33:41 GMT 2021","Mon Jul 26 14:33:53 GMT 2021","12183","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Mon Jul 26 14:34:00 GMT 2021","Mon Jul 26 14:34:06 GMT 2021","5676","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"passed","Mon Jul 26 14:34:23 GMT 2021","Mon Jul 26 14:34:34 GMT 2021","11325","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"failed","Mon Jul 26 14:34:06 GMT 2021","Mon Jul 26 14:34:15 GMT 2021","9015","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"passed","Mon Jul 26 14:34:41 GMT 2021","Mon Jul 26 14:34:54 GMT 2021","13186","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
"passed","Mon Jul 26 14:34:54 GMT 2021","Mon Jul 26 14:35:33 GMT 2021","38906","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"broken","Mon Jul 26 14:33:39 GMT 2021","Mon Jul 26 14:33:41 GMT 2021","1556","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
