"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 22 14:00:58 GMT 2021","Thu Jul 22 14:01:15 GMT 2021","16319","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"passed","Thu Jul 22 14:01:34 GMT 2021","Thu Jul 22 14:01:55 GMT 2021","21361","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"passed","Thu Jul 22 14:00:40 GMT 2021","Thu Jul 22 14:00:50 GMT 2021","10147","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"passed","Thu Jul 22 14:00:09 GMT 2021","Thu Jul 22 14:00:21 GMT 2021","11978","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Thu Jul 22 13:58:54 GMT 2021","Thu Jul 22 14:00:01 GMT 2021","66961","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"passed","Thu Jul 22 14:00:21 GMT 2021","Thu Jul 22 14:00:36 GMT 2021","14229","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Thu Jul 22 14:00:36 GMT 2021","Thu Jul 22 14:00:40 GMT 2021","4646","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"passed","Thu Jul 22 14:00:50 GMT 2021","Thu Jul 22 14:00:58 GMT 2021","7993","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"broken","Thu Jul 22 14:01:15 GMT 2021","Thu Jul 22 14:01:21 GMT 2021","5938","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Thu Jul 22 14:00:01 GMT 2021","Thu Jul 22 14:00:09 GMT 2021","8029","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
"passed","Thu Jul 22 14:01:21 GMT 2021","Thu Jul 22 14:01:34 GMT 2021","13180","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
