"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 13:31:10 GMT 2021","Sun Jul 25 13:31:20 GMT 2021","10107","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"passed","Sun Jul 25 13:30:22 GMT 2021","Sun Jul 25 13:30:30 GMT 2021","7900","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
"passed","Sun Jul 25 13:31:40 GMT 2021","Sun Jul 25 13:32:01 GMT 2021","20179","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"passed","Sun Jul 25 13:30:30 GMT 2021","Sun Jul 25 13:30:42 GMT 2021","11848","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Sun Jul 25 13:29:21 GMT 2021","Sun Jul 25 13:30:22 GMT 2021","61818","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"passed","Sun Jul 25 13:31:20 GMT 2021","Sun Jul 25 13:31:27 GMT 2021","6966","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Sun Jul 25 13:30:54 GMT 2021","Sun Jul 25 13:31:03 GMT 2021","9816","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"passed","Sun Jul 25 13:30:42 GMT 2021","Sun Jul 25 13:30:48 GMT 2021","5749","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Sun Jul 25 13:31:03 GMT 2021","Sun Jul 25 13:31:10 GMT 2021","6950","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Sun Jul 25 13:30:48 GMT 2021","Sun Jul 25 13:30:54 GMT 2021","5553","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"passed","Sun Jul 25 13:31:27 GMT 2021","Sun Jul 25 13:31:40 GMT 2021","13004","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
