"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 21:59:14 GMT 2021","Sun Jul 25 21:59:25 GMT 2021","10962","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"passed","Sun Jul 25 21:59:25 GMT 2021","Sun Jul 25 21:59:32 GMT 2021","6948","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Sun Jul 25 21:58:49 GMT 2021","Sun Jul 25 21:59:01 GMT 2021","12016","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Sun Jul 25 21:59:08 GMT 2021","Sun Jul 25 21:59:14 GMT 2021","5646","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"passed","Sun Jul 25 21:59:42 GMT 2021","Sun Jul 25 21:59:49 GMT 2021","7029","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Sun Jul 25 21:59:01 GMT 2021","Sun Jul 25 21:59:08 GMT 2021","6898","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Sun Jul 25 21:58:41 GMT 2021","Sun Jul 25 21:58:49 GMT 2021","8052","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
"passed","Sun Jul 25 21:57:33 GMT 2021","Sun Jul 25 21:58:41 GMT 2021","68562","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"failed","Sun Jul 25 22:00:02 GMT 2021","Sun Jul 25 22:00:20 GMT 2021","17421","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"passed","Sun Jul 25 21:59:32 GMT 2021","Sun Jul 25 21:59:42 GMT 2021","10314","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"passed","Sun Jul 25 21:59:49 GMT 2021","Sun Jul 25 22:00:02 GMT 2021","13167","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
