"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 15:05:20 GMT 2021","Mon Jul 26 15:05:26 GMT 2021","5644","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"passed","Mon Jul 26 15:06:01 GMT 2021","Mon Jul 26 15:06:15 GMT 2021","13211","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
"passed","Mon Jul 26 15:03:48 GMT 2021","Mon Jul 26 15:04:51 GMT 2021","63429","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"passed","Mon Jul 26 15:05:13 GMT 2021","Mon Jul 26 15:05:20 GMT 2021","6920","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"failed","Mon Jul 26 15:05:26 GMT 2021","Mon Jul 26 15:05:35 GMT 2021","8955","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"broken","Mon Jul 26 15:05:54 GMT 2021","Mon Jul 26 15:06:01 GMT 2021","7035","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Mon Jul 26 15:06:15 GMT 2021","Mon Jul 26 15:06:54 GMT 2021","39094","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"passed","Mon Jul 26 15:04:51 GMT 2021","Mon Jul 26 15:05:01 GMT 2021","10190","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
"passed","Mon Jul 26 15:05:01 GMT 2021","Mon Jul 26 15:05:13 GMT 2021","12023","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Mon Jul 26 15:05:35 GMT 2021","Mon Jul 26 15:05:43 GMT 2021","7990","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Mon Jul 26 15:05:43 GMT 2021","Mon Jul 26 15:05:54 GMT 2021","11400","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
