"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 10:26:28 GMT 2021","Fri Jul 30 10:26:40 GMT 2021","11434","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"passed","Fri Jul 30 10:24:27 GMT 2021","Fri Jul 30 10:25:29 GMT 2021","62676","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"passed","Fri Jul 30 10:26:59 GMT 2021","Fri Jul 30 10:27:38 GMT 2021","39125","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"failed","Fri Jul 30 10:25:59 GMT 2021","Fri Jul 30 10:26:08 GMT 2021","9413","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"passed","Fri Jul 30 10:26:46 GMT 2021","Fri Jul 30 10:26:59 GMT 2021","13239","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
"broken","Fri Jul 30 10:26:40 GMT 2021","Fri Jul 30 10:26:46 GMT 2021","5957","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Fri Jul 30 10:25:40 GMT 2021","Fri Jul 30 10:25:52 GMT 2021","11992","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Fri Jul 30 10:26:21 GMT 2021","Fri Jul 30 10:26:28 GMT 2021","7018","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Fri Jul 30 10:25:52 GMT 2021","Fri Jul 30 10:25:59 GMT 2021","6891","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Fri Jul 30 10:26:08 GMT 2021","Fri Jul 30 10:26:21 GMT 2021","13086","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"passed","Fri Jul 30 10:25:30 GMT 2021","Fri Jul 30 10:25:40 GMT 2021","10170","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
