"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 22 14:07:50 GMT 2021","Thu Jul 22 14:08:46 GMT 2021","55911","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"passed","Thu Jul 22 14:08:46 GMT 2021","Thu Jul 22 14:08:54 GMT 2021","7957","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
"passed","Thu Jul 22 14:10:19 GMT 2021","Thu Jul 22 14:10:40 GMT 2021","21271","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"passed","Thu Jul 22 14:09:20 GMT 2021","Thu Jul 22 14:09:25 GMT 2021","5572","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"passed","Thu Jul 22 14:09:06 GMT 2021","Thu Jul 22 14:09:20 GMT 2021","14125","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Thu Jul 22 14:10:06 GMT 2021","Thu Jul 22 14:10:19 GMT 2021","13106","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
"passed","Thu Jul 22 14:09:42 GMT 2021","Thu Jul 22 14:09:59 GMT 2021","16300","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"passed","Thu Jul 22 14:09:35 GMT 2021","Thu Jul 22 14:09:42 GMT 2021","7917","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"broken","Thu Jul 22 14:09:59 GMT 2021","Thu Jul 22 14:10:06 GMT 2021","6926","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Thu Jul 22 14:09:25 GMT 2021","Thu Jul 22 14:09:35 GMT 2021","9114","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
"passed","Thu Jul 22 14:08:54 GMT 2021","Thu Jul 22 14:09:06 GMT 2021","11933","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
