"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 02 11:03:07 GMT 2021","Mon Aug 02 11:03:15 GMT 2021","8004","selenium_python_tests","tc_5_pages_test","","","","test_tc_5_pages",""
"passed","Mon Aug 02 11:03:26 GMT 2021","Mon Aug 02 11:03:47 GMT 2021","21199","selenium_python_tests","tc_7_data_import_test","","","","test_tc_7_data_import",""
"passed","Mon Aug 02 11:02:15 GMT 2021","Mon Aug 02 11:02:25 GMT 2021","10171","selenium_python_tests","tc_11_log out_test","","","","test_tc_11_log_out",""
"passed","Mon Aug 02 11:02:37 GMT 2021","Mon Aug 02 11:02:43 GMT 2021","5912","selenium_python_tests","tc_2_sign_in_test","","","","test_tc_2_sign_in",""
"passed","Mon Aug 02 11:04:01 GMT 2021","Mon Aug 02 11:04:39 GMT 2021","38062","selenium_python_tests","tc_9_deletion_test","","","","test_tc_9_deletion",""
"passed","Mon Aug 02 11:01:12 GMT 2021","Mon Aug 02 11:02:15 GMT 2021","62912","selenium_python_tests","tc_10_data_export_test","","","","test_tc_10_data_export",""
"failed","Mon Aug 02 11:02:43 GMT 2021","Mon Aug 02 11:02:54 GMT 2021","10351","selenium_python_tests","tc_3_gdpr_test","","","","test_tc_3_gdpr",""
"passed","Mon Aug 02 11:03:47 GMT 2021","Mon Aug 02 11:04:01 GMT 2021","13441","selenium_python_tests","tc_8_modification_test","","","","test_tc_8_modification",""
"passed","Mon Aug 02 11:02:25 GMT 2021","Mon Aug 02 11:02:37 GMT 2021","12011","selenium_python_tests","tc_1_registration_test","","","","test_tc_1_registration",""
"passed","Mon Aug 02 11:03:15 GMT 2021","Mon Aug 02 11:03:26 GMT 2021","11431","selenium_python_tests","tc_6_new_article_test","","","","test_tc_6_new_article",""
"passed","Mon Aug 02 11:02:54 GMT 2021","Mon Aug 02 11:03:07 GMT 2021","13048","selenium_python_tests","tc_4_list_test","","","","test_tc_4_list",""
